"date","count","lang","page","rank","month","title"
"419",2010-02-15,3709,"en","Peyton_Manning","7560","201002","Peyton_Manning"
"420",2010-02-16,3799,"en","Peyton_Manning","7560","201002","Peyton_Manning"
"421",2010-02-17,3005,"en","Peyton_Manning","7560","201002","Peyton_Manning"
"416",2010-02-18,3119,"en","Peyton_Manning","7560","201002","Peyton_Manning"
"417",2010-02-19,2776,"en","Peyton_Manning","7560","201002","Peyton_Manning"
"407",2010-02-20,2310,"en","Peyton_Manning","7560","201002","Peyton_Manning"
"406",2010-02-21,2608,"en","Peyton_Manning","7560","201002","Peyton_Manning"
"409",2010-02-22,2812,"en","Peyton_Manning","7560","201002","Peyton_Manning"
"414",2010-02-23,0,"en","Peyton_Manning","7560","201002","Peyton_Manning"
"411",2010-02-24,4066,"en","Peyton_Manning","7560","201002","Peyton_Manning"
"410",2010-02-25,2510,"en","Peyton_Manning","7560","201002","Peyton_Manning"
"413",2010-02-26,2627,"en","Peyton_Manning","7560","201002","Peyton_Manning"
"412",2010-02-27,2338,"en","Peyton_Manning","7560","201002","Peyton_Manning"
"398",2010-02-28,2267,"en","Peyton_Manning","7560","201002","Peyton_Manning"
"440",2010-03-01,2381,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"441",2010-03-02,2429,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"442",2010-03-03,2321,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"443",2010-03-04,3191,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"444",2010-03-05,6160,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"445",2010-03-06,2110,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"446",2010-03-07,2005,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"438",2010-03-08,2329,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"439",2010-03-09,2369,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"435",2010-03-10,2062,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"434",2010-03-11,1889,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"433",2010-03-12,2007,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"432",2010-03-13,1967,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"431",2010-03-14,1828,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"430",2010-03-15,2153,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"429",2010-03-16,2237,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"428",2010-03-17,2212,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"427",2010-03-18,2076,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"426",2010-03-19,1925,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"453",2010-03-20,1642,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"454",2010-03-21,1748,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"451",2010-03-22,2023,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"452",2010-03-23,2445,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"449",2010-03-24,3068,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"450",2010-03-25,2276,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"447",2010-03-26,2079,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"448",2010-03-27,1926,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"455",2010-03-28,1784,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"456",2010-03-29,1822,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"437",2010-03-30,2109,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"436",2010-03-31,2024,"en","Peyton_Manning","7560","201003","Peyton_Manning"
"465",2010-04-01,1727,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"467",2010-04-02,1583,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"466",2010-04-03,1725,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"469",2010-04-04,1770,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"468",2010-04-05,2937,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"471",2010-04-06,2494,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"470",2010-04-07,2123,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"486",2010-04-08,1919,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"457",2010-04-09,1952,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"478",2010-04-10,1720,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"479",2010-04-11,1806,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"476",2010-04-12,1837,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"477",2010-04-13,2015,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"482",2010-04-14,1971,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"483",2010-04-15,2166,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"480",2010-04-16,2404,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"481",2010-04-17,1905,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"474",2010-04-18,1996,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"475",2010-04-19,2097,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"460",2010-04-20,2143,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"459",2010-04-21,2580,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"458",2010-04-22,3283,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"484",2010-04-23,7488,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"464",2010-04-24,4441,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"463",2010-04-25,2946,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"462",2010-04-26,2989,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"461",2010-04-27,3207,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"472",2010-04-28,2931,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"485",2010-04-29,2556,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"473",2010-04-30,2408,"en","Peyton_Manning","7560","201004","Peyton_Manning"
"516",2010-05-01,1711,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"514",2010-05-02,1886,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"515",2010-05-03,2085,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"512",2010-05-04,2103,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"513",2010-05-05,1829,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"510",2010-05-06,2158,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"511",2010-05-07,2955,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"508",2010-05-08,1706,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"509",2010-05-09,1610,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"499",2010-05-10,2010,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"498",2010-05-11,1972,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"501",2010-05-12,2041,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"500",2010-05-13,1474,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"495",2010-05-14,1788,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"494",2010-05-15,1441,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"497",2010-05-16,1551,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"496",2010-05-17,1761,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"491",2010-05-18,1565,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"490",2010-05-19,1378,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"502",2010-05-20,1631,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"503",2010-05-21,1764,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"504",2010-05-22,1652,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"505",2010-05-23,1550,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"506",2010-05-24,1649,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"507",2010-05-25,1610,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"487",2010-05-26,1605,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"488",2010-05-27,1348,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"489",2010-05-28,1204,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"493",2010-05-29,1224,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"517",2010-05-30,1159,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"492",2010-05-31,1232,"en","Peyton_Manning","7560","201005","Peyton_Manning"
"526",2010-06-01,1329,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"525",2010-06-02,1407,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"524",2010-06-03,1668,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"523",2010-06-04,1924,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"522",2010-06-05,1691,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"521",2010-06-06,1459,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"520",2010-06-07,2795,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"519",2010-06-08,8263,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"518",2010-06-09,1374,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"539",2010-06-10,1127,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"540",2010-06-11,897,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"541",2010-06-12,232,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"542",2010-06-13,205,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"543",2010-06-14,193,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"544",2010-06-15,548,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"545",2010-06-16,775,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"546",2010-06-17,1366,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"537",2010-06-18,1617,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"538",2010-06-19,1260,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"532",2010-06-20,1145,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"531",2010-06-21,1348,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"534",2010-06-22,1130,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"533",2010-06-23,1105,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"528",2010-06-24,1011,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"527",2010-06-25,977,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"530",2010-06-26,0,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"529",2010-06-27,463,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"536",2010-06-28,0,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"535",2010-06-29,1348,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"547",2010-06-30,1258,"en","Peyton_Manning","7560","201006","Peyton_Manning"
"562",2010-07-01,1158,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"563",2010-07-02,1227,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"564",2010-07-03,1019,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"557",2010-07-04,911,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"558",2010-07-05,0,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"559",2010-07-06,1564,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"560",2010-07-07,0,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"567",2010-07-08,0,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"568",2010-07-09,0,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"574",2010-07-10,0,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"573",2010-07-11,1251,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"572",2010-07-12,1185,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"571",2010-07-13,1397,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"578",2010-07-14,1404,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"577",2010-07-15,2093,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"576",2010-07-16,1731,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"575",2010-07-17,1495,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"570",2010-07-18,1391,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"569",2010-07-19,1444,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"551",2010-07-20,1753,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"552",2010-07-21,1721,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"549",2010-07-22,3386,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"550",2010-07-23,2380,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"555",2010-07-24,1847,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"556",2010-07-25,1900,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"561",2010-07-26,2835,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"554",2010-07-27,2435,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"565",2010-07-28,2440,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"566",2010-07-29,2698,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"553",2010-07-30,2587,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"548",2010-07-31,2812,"en","Peyton_Manning","7560","201007","Peyton_Manning"
"603",2010-08-01,2146,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"605",2010-08-02,3413,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"604",2010-08-03,5930,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"600",2010-08-04,4690,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"599",2010-08-05,3180,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"602",2010-08-06,3009,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"601",2010-08-07,2637,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"607",2010-08-08,2579,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"606",2010-08-09,3432,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"585",2010-08-10,2755,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"586",2010-08-11,2895,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"583",2010-08-12,2879,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"584",2010-08-13,3411,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"581",2010-08-14,2437,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"582",2010-08-15,4055,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"579",2010-08-16,3947,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"580",2010-08-17,6276,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"587",2010-08-18,5385,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"588",2010-08-19,4631,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"598",2010-08-20,4963,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"597",2010-08-21,4252,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"596",2010-08-22,3948,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"595",2010-08-23,4631,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"594",2010-08-24,4080,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"593",2010-08-25,3232,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"592",2010-08-26,3590,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"591",2010-08-27,7022,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"590",2010-08-28,3207,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"589",2010-08-29,3434,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"608",2010-08-30,3597,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"609",2010-08-31,3345,"en","Peyton_Manning","7560","201008","Peyton_Manning"
"635",2010-09-01,3495,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"632",2010-09-02,3657,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"633",2010-09-03,3964,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"626",2010-09-04,3238,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"639",2010-09-05,3811,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"624",2010-09-06,3722,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"625",2010-09-07,4681,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"628",2010-09-08,5177,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"629",2010-09-09,5570,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"616",2010-09-10,9246,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"615",2010-09-11,4188,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"618",2010-09-12,19268,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"617",2010-09-13,10623,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"620",2010-09-14,6450,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"619",2010-09-15,4889,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"622",2010-09-16,5521,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"621",2010-09-17,7691,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"612",2010-09-18,8741,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"611",2010-09-19,13366,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"636",2010-09-20,91684,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"637",2010-09-21,10889,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"638",2010-09-22,5526,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"627",2010-09-23,4803,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"610",2010-09-24,4137,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"614",2010-09-25,4039,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"634",2010-09-26,11276,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"623",2010-09-27,12285,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"630",2010-09-28,7502,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"631",2010-09-29,4656,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"613",2010-09-30,4069,"en","Peyton_Manning","7560","201009","Peyton_Manning"
"651",2010-10-01,3907,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"652",2010-10-02,3647,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"653",2010-10-03,8183,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"654",2010-10-04,11038,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"647",2010-10-05,9214,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"656",2010-10-06,4663,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"657",2010-10-07,3844,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"644",2010-10-08,4125,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"645",2010-10-09,3304,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"662",2010-10-10,9505,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"661",2010-10-11,6982,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"660",2010-10-12,13913,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"659",2010-10-13,4868,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"666",2010-10-14,5243,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"665",2010-10-15,4240,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"664",2010-10-16,3309,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"663",2010-10-17,9446,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"670",2010-10-18,23749,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"669",2010-10-19,6112,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"648",2010-10-20,4208,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"649",2010-10-21,3878,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"646",2010-10-22,3851,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"655",2010-10-23,3007,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"640",2010-10-24,5063,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"641",2010-10-25,7054,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"650",2010-10-26,17839,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"658",2010-10-27,4916,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"642",2010-10-28,4472,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"643",2010-10-29,7663,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"668",2010-10-30,7091,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"667",2010-10-31,8222,"en","Peyton_Manning","7560","201010","Peyton_Manning"
"679",2010-11-01,9229,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"678",2010-11-02,28184,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"677",2010-11-03,5376,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"676",2010-11-04,5714,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"675",2010-11-05,6511,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"674",2010-11-06,4159,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"673",2010-11-07,8670,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"687",2010-11-08,13675,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"686",2010-11-09,6063,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"690",2010-11-10,4320,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"691",2010-11-11,4349,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"692",2010-11-12,4449,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"693",2010-11-13,3579,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"694",2010-11-14,7151,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"695",2010-11-15,10000,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"696",2010-11-16,6091,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"697",2010-11-17,4095,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"698",2010-11-18,5215,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"699",2010-11-19,5457,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"685",2010-11-20,6209,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"684",2010-11-21,13913,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"672",2010-11-22,25892,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"671",2010-11-23,6746,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"681",2010-11-24,4081,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"680",2010-11-25,6067,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"683",2010-11-26,6271,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"682",2010-11-27,4413,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"689",2010-11-28,10206,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"688",2010-11-29,28456,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"700",2010-11-30,7434,"en","Peyton_Manning","7560","201011","Peyton_Manning"
"729",2010-12-01,5712,"en","Peyton_Manning","7560","201012","Peyton_Manning"
"727",2010-12-02,4403,"en","Peyton_Manning","7560","201012","Peyton_Manning"
"728",2010-12-03,4061,"en","Peyton_Manning","7560","201012","Peyton_Manning"
"725",2010-12-04,3723,"en","Peyton_Manning","7560","201012","Peyton_Manning"
"726",2010-12-05,10747,"en","Peyton_Manning","7560","201012","Peyton_Manning"
"723",2010-12-06,20386,"en","Peyton_Manning","7560","201012","Peyton_Manning"
"724",2010-12-07,9594,"en","Peyton_Manning","7560","201012","Peyton_Manning"
"730",2010-12-08,6300,"en","Peyton_Manning","7560","201012","Peyton_Manning"
"731",2010-12-09,6735,"en","Peyton_Manning","7560","201012","Peyton_Manning"
"708",2010-12-10,17384,"en","Peyton_Manning","7560","201012","Peyton_Manning"
"707",2010-12-11,5265,"en","Peyton_Manning","7560","201012","Peyton_Manning"
"710",2010-12-12,7526,"en","Peyton_Manning","7560","201012","Peyton_Manning"
"709",2010-12-13,9218,"en","Peyton_Manning","7560","201012","Peyton_Manning"
"704",2010-12-14,16640,"en","Peyton_Manning","7560","201012","Peyton_Manning"
"703",2010-12-15,6511,"en","Peyton_Manning","7560","201012","Peyton_Manning"
"706",2010-12-16,4858,"en","Peyton_Manning","7560","201012","Peyton_Manning"
