"orig_address","orig_lat","orig_lng","dest_address","dest_lat","dest_lng","time_text","time_value","distance_text","distance_value","polyline"
"Rochester, AB T0G, Canada",54.3709115,-113.4551359,"Saint-André-Avellin, QC J0V, Canada",45.7065816,-75.0564208,"1 day 13 hours",134984,"3,599 km",3599347,"eizjIrensTvuGy}mAf@suRBgjRzyAexHdkJIfwELz|AAjlUCvsCehCn~@hY~wg@o`@x|Rw`DvmUkmz@nlZ_taAphP{mqAx_Qo~y@goDsz{@i|@kkiBbgLeyyAvqNo_u@xpQ}rj@xpHmlsAh{_@}naCxwVo_SzXobMxwp@qmxCl_Sefr@bgGcio@|_g@ypcAf}Kc}HdvGyxV`cHws[sQshb@`yAugS|jBclaAziQonbBxqJwq`AxyCskx@n|FwiV_{Aspr@l~DaaaAz~Q{`kAnsGqyh@xeJaqXftTa`a@|cGexQlvZqft@tfOiob@`|_@izs@hzPebg@hwXwazAe`@k|\ri]ij@juNyrQfpMms`Bh`SohvAdjW}`fA|q@mgoDlvGk|i@ryXa{t@rmMinC@q}G`s@gnGnoAk{NgvBsyZvtIef|@`hJo`xAxwLarEfaCcb\inImrf@`cIcg^n`Tgqu@`k@qqt@fs@gy}AdlA}{u@qxPmrn@}iBum[lmCeah@x]amYi_GydWioEo`PiaAgg`@fxLajTo_Dg}XayK{g[aqAguo@t|Bexj@ghF_`QtaEss\z`@}ioAxsDquGnDipUxxKeeStwD{`QpkGsuIpjKewVvwHmkc@fuLqjo@dcEylh@ljWs|~@p~Kwou@fjHs_h@pwJ}tWtyMejNhqA_he@pyPgqk@fjNi`r@hnU}wRpd_@ppA|wIkfm@~_N}_sAcrUinoAalWs|b@{vTuwPe~KifOqcMmtTkeRctO}kFzhB_~Sw~Jm{QwuU_uIrjEgyGmsC{|Itm@mnNmtRucNs_JauGidVauBqjXwlDm{~Alb@wp}@urI__g@_`Eyyk@qrAydbBzbEwq|BxBgijD`vKudoClkx@q~`GjiSo{oAlc@eob@`gRau~@bbBs|KxjIu[viK}pT}@gtm@jzQwYvpJewT~hW_gTnwLowBj}j@wwgAfzLy`RhfNe~Kb{Z~`A`lUsdR~~[gnc@bkXo{\bjN{HlaIqsOnnHqtKfiOfAdiPndJzbQpvHfpHnzAdcP}mK~{RngKt`KbEjvR_|BbxN_g@~{YtoEhzd@c|j@l|MslRxyQgnAnxKyhIllE_pk@m|Ak~q@}eDm{i@zeHsedAheCuxi@lcM_s{@ed@yaYzhIoy[r_OitLjuUco[zdYsoZthJw_c@vb_@ysk@ryV}qg@bgBsea@~rLyh]hoM{zj@y}@unMqyLcda@opK{zDo`NmkJ{cGgom@{iCclHoqIesFqwEyq~@a{GdkF"
"Turner Valley, AB T0L, Canada",50.6739091,-114.278862,"Saint-Chrysostome, QC J0S, Canada",45.1026152,-73.7608609,"1 day 13 hours",132922,"3,552 km",3552468,"}fhtHzaoxTqtDuum@hi@y|ZkeCiwKy@ufdC}qJcbIufKa{G{qCy|KnwDu}t@juAi}p@|oLgxMtsIgo_@`~\}wmAl`dAg_oC~y]khfAr_KufSyi@{hSfiFaorAk~EaqvAgdIsjoBw`Jiw`Bwrg@ij}B_dR}eyAibFmhz@|vAmea@izGq|_@mc@qf`Az@mmsAjd@i{e@zaEmei@nuDqj`@||M}sj@tfu@itrBdphAenoC~xu@}m}Ad~e@wk`A|tCmcXtvDgjNrnGcpN|nP_sh@dmPkqBx`Bui_@vZimZb|NaWpH__[llXibCj`QskLrgUezi@d~Pwoe@tuMs`MbgFwhQ`aJyj`@_~Dugx@y`EcwXm~Fod_AoaD_vPmjBi|`A`|Aotz@f_Fy`o@thDswo@|nIml_@~{Visp@zfHurNjY__s@~nDeffA~`Byo^m@kbZdiJez[zyAaw}@_`@iqiAfoSsu\nuDmbFzx@e`_@hwE}{FD_mp@piOwc|@x}[crmAzuAkw{B~oOi_]|jHu~]naEoooAvwBia}Ald]{plAtlt@mv~At}HwaN{Kiwg@`w@akX`sG_sYdmJ{lUupA{vPlfNi|Vl_McyRfv@izNdjDy|e@xj@ovW~|Dglt@saBaxd@uwEkeXo~Cick@l}MsxUpfFe}e@lvCall@ek@ced@cwKypTkoFwpi@|aHqtgAvgBy|WdjGa{Es~Bkvr@_}Iw~w@yhD}k[hxBwo[hlByh`@fxGaxYc|@sl{@r~NeobAblG{yDvuE}zd@hzAsoi@inHsxXmj@umH~~Fync@`c@y|nB~Ssmf@rcDmr\~r@{az@{oDey[qjDoyw@u_BwaiA_oMejDsqKm{CjXqxIq{GqzM|uDmmYp`FinHd_G|mC~iQhIfiByrJa@{qXrcFw~PdcBejc@~S_za@y_Amz[ldKgx]~lH_r`@igCmwoB}t@wuv@k|Jiyg@esPiuwA}uLwtiAsvBo`Yo~FykB|f@q`QgyDyzRvhDqvYltGoui@lxF_ty@~uFkgTqZgmi@piEyo]hnEq`VnqEirg@x@con@qzEqzq@zmDy~l@kTmcShoEwof@vaJqiz@bx@kcZxkFu_`@r|PouQ~~MymQ`m`@a~a@dxIyod@lya@g_i@j_W}xd@~tFkkz@rfRggp@~~EizMoaOihd@mvJquTjlLgnl@p{Gct`AyiKurk@y|LmbXmoJerX_rEseIy|CegRrxLqf_@rmIok^rdFm{LbzQggI}@yvOtdA{iFhiPecDdkQawQbGiH"
"Sexsmith, AB T0H, Canada",55.3503229,-118.7834598,"Stellarton, NS, Canada",45.5567727,-62.6603637,"2 days 5 hours",190330,"5,235 km",5235226,"orypIr{~sUffPbwAjoEwpb@~dBaw}A|r[e`bC|mCmya@||^et@`nXcfMbr^gy]rq_@i_\fkMknj@|bHysfAlmQqldAnmZuqaB`ou@kvwDhuMeut@`uZaa@}OcvZaIiarAs`@}hi@`t@{vmCxbMwuqB|eQwkpAhqQgs{@uxCeqz@a{@_uiBp{K}zzAjtM{vs@neRulk@bdH}lqA~n`@qtbChpVykTrY{qLvgm@m{nCru^y`lBdgt@cdmAptP_|uAfxDkcuAtti@upsF`|AqixBxfa@_oeClc}@grrB|caAkb|BhnYshzA{\wj_@j`]e|@`vLqzOb_Ps`aB~nQopsAvbWatjAnmBslaDptGg{p@bfXuq{@jbN_rK|]o`HdsBgbNhpD{atAjzJkw{AvpKsdG~xDm}ZmgDym{@vxY_hsBx|@gc`Bf}Aknt@qnTwslAzgC_fg@mqEyds@ybHg|p@jxLkuSy~CknY{eNuljAzyBybl@_y@iim@~mFennBrtQk_f@r{Siha@bpHq|c@nqRydyAtsd@sruBfhGwsg@v_Zoff@xuSk_qA`rLcgq@jwUynVxw`@vkB`{Iibm@x|NmsqA}zTspmA{`n@iix@{_m@}`v@wzZmuFizRsgVe~Q`gAmtXsrOqmVs|]kxDgn\gsDwz}A|z@}~|@qmPgdrAdtBurbFp@uyiDdiKadmC`lc@qvxDzoh@ug{CxzOae}A~q\etg@Rsqm@|tZcuLrbYyv]rwLg{Cdea@{}r@_TssRjcAwu_Azh@q`uCziEshw@vzM|gAptIquEn`E{qqAnpQgxBpDun\q`@s}e@`~G_pP`dMwn]vo@sk\bfG_ztA~bp@yhEvyZoiNljTixUthl@kvi@dij@mo`Afeq@epn@|yUclt@~g\swo@teGahjAtyHstqAj_Yytg@nga@atO|sMqvc@hiL{}t@~sKyiRrjM_rC|`c@ix`@v`Wok_@e`BufXb}Cgi\vO{wm@g|K_udAivf@ckcAicfB}zmCs{|@sbjBy~_@guzA_wT}t{@g_]u`g@oenAev`Bis]ee\yoTwp^tiNu`]lcIma~@`|M_fp@rqYuk`AjjUipm@jv]igs@nvb@u`b@dvzAy_G~ha@}yQdpZwwAht[wfEjwVucYfpV{snB_pQwp[tpOuic@xlBa`_AcwGcae@mhFas[_mAo}i@ynIcxqAcoHktVedSyh_A|zDgc_@re\c|e@t|c@wmv@zhFmnq@hcKsfVpeVglE~qTkp]`|F{nk@sf^kedBel@oz["
"Bonnyville, AB, Canada",54.2679649,-110.7200364,"Dubreuilville, ON P0S, Canada",48.3484004,-84.550641,"1 day 0 hours",87863,"2,366 km",2365878,"wefjIf_xbT?}iI?mfBxtDcyGhgK\zsFUppMtl@bnIysAfjKlXrh@mWpmNwr@biEujFpxAioDlwFojCng@caPnuHu~JjdGyi@lw\shC`i@_uj@n[msLfsCmaDb{@ze@lsF{n@|qGhCtjFF~dDy`DhmHXl\unApv@iaFz{EukOxtOc|_@|mGaySdXgwv@jpMgfu@vzPysiAlpHar\`cJerM|jKs|ElrAesGtkH}s_@x|YcrwAdqd@w{iBpjA_t\~tQgje@|pQk_Y|eCsfJp}J}o@fOqmNn}DknHvjE{xEb|B{mStX{qb@pUgaJ`eBcan@pgL}g`B`eKm}{@tpIgygAr_@eiV~bE_iC~j@gmLqYijSg_Acs_@~hBq}|@~eKivc@hmHws`@bAiyb@zxEezO|`GklQ~tOgv\twLeqUniWumr@brOcra@~uYion@x|UqxZxo^kwhBvi@c}k@z|\yaAjjDywBtfGg|KhvDcbPvhE}zg@z{NydaBlqZug~AjfCu`FxqBe}PlCmg`BnuAk_`AftNejdAniNmhV|bNmD|@ugK|ZydHbsB_yFyjAg~Nde@kof@hcKcp`A|aC_{x@|hAcwMv`QofBc{Bqdd@ueGcq^j``@qtnA|BemzAzxAajeAdbBu|UilDang@ucNifi@hz@sai@bxAyd_@}_Dus[eoEauBq|@mdJm_Cay^fp@uyJbxGcpExpCuxM{sE}}NoiDweSchHk}VwYa~Rff@}lt@dy@wdKeiEevVheG{ua@Kqp|@nCoaFvbCmwC|n@kkSdtC{hHbrKqkT`pBezLx|JulHdzEszRq]mfMrcGyvOdaBceNv{Ggg[`mEotf@t{Tgnv@xsNuty@nfEe`r@llJmyL`}DimM|pI_vMzhF{}IqTwoV~~Lys^zoGssj@zwHswXfdKmwMhsIc~GjpKtiAv`Onw@brE_yFhi@mrFbsFk}XliC_ga@l`Jiok@qxB__UiqB_}NkoJ{th@y_M{{WqeE_oP{eTq_RccNgxFojIwnZ}|OcbHyzDmwOfxA{b[scBcyKzgH_nGpqFs_Nfm@w~WfxHmep@`dG{hEcXstSlrDmwYxhC{gSll@oxJaaGuvBknEubTzfMyoIkx@wjQkkB_mR|mAgdMlqBgfMwGg`MmrAkoHrkAknEniA}dHvlJkjJ|gDivj@ij@_ab@mjEo~q@~w@{vMriJwkWlzJwaZzs@eaIlwGiuM|oKudJtcKmbFb~Ge~AtgGwmJteEc{Gbc@itNuyA}jCq{C{jQgLq}NucBww["
"Wetaskiwin, AB, Canada",52.9698702,-113.3771616,"Wikwemikong, ON P0P, Canada",45.8036527,-81.7214966,"1 day 7 hours",110475,"2,913 km",2912628,"uthbIf~~rT}yBawGgVaxVaFebTkpCwd^l@g_|Dhf@ygpAjwJulZznFuqb@f`Aelk@rgJs}U}e@a_|Azq@yffBzqBe~jBnpLatc@aDwlpAeh@whk@fpD_|[gaAarEodC_uAnzSony@`yVwloAvoUwuv@x{J}vr@hDicJlzJobYnqR_g]l_G}sGtxD{nH~{Xm_Gzoi@anPj}XwrFniJefK~`Qg_WxuVuqTvwRypZt}EsiFpqLs~FpcU_iUteTm_T|lPoaWd`Rgwn@jiR}{w@`pAayn@psWkfZnpM}dQflf@_hmAhdeAa`mCd{f@qtmAbmDw`rAphGuwrB|hCum[faAun`@|sHedAt_N}nGp`LwJ|xXsAlmM}ED}qGXgc\OmuVcZguKhZmsIfKqy\x`Wq[bzCgyBhiSgmAhvQHrj@uzi@hkAcePjxECzrO|NhcP|hCj|\ced@jjTu}YsdByi_Af|Acy{@f}Es}n@ljDk`p@lkI}i_@t_Wcxp@`dHqoNdZkxr@xpDinfAbaBic^gA{jZhjJy}[tyAsv}@i`@usiAdgSii\v|D{mFhs@mc_@|}EixFDukp@trIa}b@~tDkiXv{Ish_@|aQ}am@aFilgAp|A}ms@rvHixLpxEcbOfiHs_^baEiboAjvCylu@_\ycg@|_]kilAhjQiif@by`@mbv@~jJedO}Kggh@xu@m`XdCq_KnoGixMhkJgsUkiAmqPtdCouGhrIi`NvfMy_Sfu@wvNbgDsle@`t@ekX}Mo|XhhEkpZa}A_sd@syEk`XibDyjk@`zMwsUpkFame@fzCsam@wh@mfd@mdK_dSkeGuzj@kE{mRreHy~r@xcBchY`mGivEm|Byur@m{Ikax@q{DgdJjOouNpuBm|\~mBw``@|zG{wYm}@{z{@dmGo`d@pYy`UxrE_mGjhGuuD`sEwwB~Ggt_@s`@m~Qz{BwcOKkxGoMakP{|G}mG_o@{pHh`Gmfc@hb@_boBdTwof@poDsvFiIc{Tvr@wex@{oDeq]}iD_}w@y~A_xhAmkM{vDarKqzCxSkaI{uGghNroD}tYj~EyrHf_GxkCrdQ`LdqBchJoBmxXziFaoP`}Awzc@fsAosLk{@ydT}`A{z[`bKsv]voHmt`@wqDkx|@hi@y~q@kt@}ov@}{J{{g@{}Aw_MnxAo|B~fF_nFfrFwbDhrHjbEltDm~AvlAodBziErqChmA|dEf`EeGdjD~kQx}CjzJv}M{AnpC_`LjfMei@xuIkeAvaAwwCtXezFm~EcnByeE_~E"
"Grassy Lake, AB T0K, Canada",49.8257207,-111.6980107,"Baldur, MB R0K, Canada",49.3854199,-99.2438425,"9 hours 30 mins",34202,"979 km",979230,"wqboHp_whTeLwwBlAggLkGq_NgE_fH{g@wbBgLcsBk}A{eDotAgiG}OeeBeUkfIR{pe@uCqie@_oAwuDa_@wo@siFa|EqdBqbE_zAieDg@y}@DueN?slSqBsiF}`@sp@}UsC}ZkLB}XLmz@EcfBcGwpAsb@eeIi@alFzh@opDlmAqxDbi@ifB_EwqDbAkuCbVesE`dAoiLjZwgD{HwpB{AycLgBokCwsAymGmi@klBvDgfOe^wvHhT{|EIyeTgwA}aITgjVk`@ilEiH_cIOcsT{mBcnT_[sbHq@_{KccAi~Ga_AifDa_@szCygBy_Kg@q_HekAy_G_w@ahBIsjAfDygG}J}pBe@mzf@gbAgeEcoBcwJ_Uy`AkmA}aBihB}nEsc@kpBwf@gfLitAirKabAq|Ci`AorBwyAq_Ds}BslIopDeiQuoBusJaiCktG_v@qkDgDwdEv]udD}@caJwp@c|AasDisOkl@iuBadB_~Gqn@wcG{HezB{XaoAk~AksMop@orCwb@ezFeAymHC{`O]ejAuc@gpAekCcyG{e@igE_Ju~LjOwqDpXkmAbo@udChH_tAtBqrDyL{mLyDgx@kh@akAk`Ca_GqH}iJ_{AwoHmf@ebLlJmxA~k@itFcLy`B{k@e`EkTeqL~Ea`HzMsiAcAsnFM_nXpo@caJ_AwqD^cyLug@u|DuBshQi@cxDmVmtC{cBsyRdb@gbEjhA}pCxlAi{C|rB{kJbt@{mDtA{dJv@ixW~r@krEjsB_uBf[uyBhDmsAuSumBe@ouj@hBmfEhX}_AqAkvB_OukA}HoxGH{aSEmsd@Ygye@_d@u}@cdBkeBstAobAaVoc@tuEq~LvsA_wCxvAsoE`wMep]lmJmdVjdBs{EduXgks@dnMqf\v{b@q|fAtzSmgh@t{HgfRhK_Wrh@wE?szAFwvGB}yIGyf[?cqEvkAgeHrMcuK|j@asD@c`r@n@ckCpm@asDje@klCziCoaObBudP~Fs|Ljb@ubAgAejDoF{{IhLqp@hv@g}AdbBokM|BixZ`@}ncAdHwgY`z@qMpUmXh@etm@yE_dFasAwiEa@yk`@iFq`Pw]}qJaRigDp@mNhxEy@zbCdFtZ|L~nHeDdf@_aCfjA_FjxAEv@yLIqbEKymN@mwTf@}yZxAkiXzpEiBbk@IpSiQLkiMOqf\MktSnj@cpBZkiCof@wh@wBuMuM{QcLefBeMgf@w[zIwP}Ou@{xSvLeWte@mEb^cWzCslNdWegAj`AohGnAwrGqAwvL"
"Radway, AB T0A, Canada",54.0645567,-112.9464694,"Hanley, SK S0G, Canada",51.6279058,-106.4395898,"5 hours 44 mins",20635,"591 km",590928,"on~hIlzjpTe@kdC}jDalRue@cjClBeP||A?x\gCfSsYf_A_lBfWg@~f@j]bb@}V`RmItuAE`a\VloG@fsOWdfH}{VvdBkyE~p@opEntFikRlrBwhIj~CkuM`i@maBjRsk@xwBMNydGfp@i~Cx{BstHpo@gaEvf@owEhj@}}Bhv@}n@t~AwbAte@w`@db@s_Ajf@csAvKgr@tA}rFoRiqDuRclBM}aIrPg}A`cBmlGnu@mzAx|@snBbp@m|Cbi@_`GtOcwCmAapCvNweApoA}aA`k@_dAbk@mmCzRwvABwsF~i@qgDnBwzCfQiaBly@gvAhk@mdBnNstB`IajBf_BwpDni@igB|_BidCrs@ijC~r@myAzPiz@lAshBkLc}@al@muBuW{yCzAasCai@{tD{K{bKyEqlGzGwkBfU_jBy@gq@i]_yAc`@qiBsBq~@Sg}TBsmHiFqlGwPczDkTejFg@avEUeyLiY{uEuEo_EbYmaBxI_aEy@suFmOeeB|KqmCfDomV~DobDtxAo}Hn~B_~KvsB_mGrbAuwDb@ooGYinRjB}iKrzAimHn|B}eIzt@i`At[kwAvYulA`nAihAro@an@pq@ydCbPmc@pz@et@~y@ciCrbDamKh[_vAbxCknJrxAksEtM{{ANcka@jKwpQzEme@hXql@rwAumBbVsn@zrAwmHfj@yfE|DwfD`PmyAnC_oBhE_}Ax^eoAjsB_nLdo@qqAtRq{AfGcpGrEanAjaAidDz[ilAnpAsvKxcAqkEnqCo_PvfBieMx[myFjjD__Kvx@esCjs@yxDtBohBbWmq@lwBu~@vgEg|Fl_C{CxhAeo@~iAi{@zzBqhBhOkdA~]qgBth@m}AuScVw}@ur@iAkStX}`ApMu_B|i@kzBlxCoyIvmCc_IhcA}|Dtm@u}D~tBgeIhf@kiBxNshB|Ryl@naAwwDbhE_iRxzAytGrx@}nEptB}kIxTyuFlJqj@p]cm@rVgbArh@y|DlmA}wHxwEkjSxjA}_FllAcdDbt@kwD~Sqe@rz@a{@|wEiiMxyBguM|vBieK~m@chB|lAocFbLwlMqF}qEzKkpCbtBs_KheG{aMd_EwjH||CohFjsGwqLvxAowCdYq\xtBaAdQRfDmFW_uA~AizA`MkK~Pa_BvLy~@vw@cHzo@kCf^yYtv@cOhwCfBthBA`oBgXfrKgyEjxV}aJ~o@kMn`B`@lfFkz@biA{k@lrCquA`rFBjg@xFhoAwt@bdF{|AnlFagBjhA}v@xH`_@|Uxd@P]"
"Wainwright, AB, Canada",52.83307,-110.850458,"Leader, SK S0N, Canada",50.8889728,-109.5419038,"3 hours 11 mins",11478,"317 km",316631,"u}maIjnqcTzV?rAE@wCCw]I{s@Ba_AhC?dEApjDAnhFHj_DCnwG[vJkB`KcHxO}MtFwBxGw@hz@@jwABb`EDvzSA`}HJt}@ShEmApD{B|IiGtEeB~EUlaBxMtKFrDa@jH{B|FcDlF_FvaCk{CzXc]dGwE~C_BfHsBjNm@fr@@hlABlJD~Fn@|GlBzGxD|EpExL~O`cAttA~~@roAxJrK`HfEdHtBxGp@zs@iB`qAkDdPVxCr@fHtClEpCdaAh|@fSpO`KrFrMdFzNvDxHjAhMdAjuI?tdC?d`CCnM~AhJzD|DzCvFpGf^rl@nI|KzJbHpHbC~OtArKEfJcCvKgJdIyOdFmVzXehB~FuVzfA_kDnKiQlJiIdKgEbG}@tIMliD@`OIlKy@~HwBzNqHdJcIjIgKpy@onAvGsHhGiFpHkEfM}DdIkAltDKtvA@dzA_A|_Bu@nOM~J\xBb@rFud@nFsc@dBwIhPuj@jJw\pBaNn@eMHiqA@uxGLwhHlAgPbJcc@nq@y|C|c@}sBrAmQaAikCi@i_@wCaRwFuMyh@ibAqD}GtDeI`e@ccAh_@}x@|NqY~BgClH_FtFeBnFc@lrAOx_BSxsODbxSEroLNlnDD`}Ah@juBSlIMtDm@|F_CdiCkyAnlBgfAzG_BxqASfnIJrlHEdyGOx_JKzWAlIkB`EiCzDkEjX}k@tiCc}FfGkNpDkM`r@upDzs@uvD`G}YtGaUlp@exBvFqLzd@ax@hzAehClvAwaCbGkMlBsGjiActExFcMzCoDpFuDrAg@p@SBupCD}aH@onCMicHEqnBaAiHaAoFqAeFsDoEgGwAolC?}EiBkB_BsE{JoAgMa@cyNYyzEUceEs@sM_BkIqDaJuNgV{C}H{BaPcFuqAwEiwB^kMxh@caDjCaTV}M@elALutEnVueC`RqkB`@g[~@ozEpJuwClD{~@fBkGxCoEzD{BvLYzf@@zc@[~Ao@~BuBbC_FhBqKFiiFb@aHxBoI`DwEhCyA`Ck@dkCA`Iw@bCcBdC}D`BkF|@cKQeqBHqeQSaxAb@ow@?}rL]}jAiBi_@]yXJoKhzDJ|tDEdjJBpqCx@lb@t@hy@FhIr@|DxAxHvGjC`Exw@fyB|_ArqChvCnoIds@vsBlIpO|FzFbHxDneAlZpg@pN`Fx@dFT|GSvPsD|l@uOtGcAbHGhKzAnKfEdR~GfUnCnP|@fH^xREr`CcGfu@wAdVtAvWlF~hAfb@zFdAlQBvG?dJ?_@`CaAnGaA`GaBvKKG"
"Waskatenau, AB T0A, Canada",54.0954101,-112.7833297,"Marten River, ON P0H, Canada",46.73331,-79.8018987,"1 day 7 hours",113378,"3,036 km",3036108,"iodiIx~joTl_C~lAnwAgmB|ua@mBrqXa^jeIwpYb_J_d\`hMsn\bhFme^j_C}|HzkEwrUbpHgdk@peP{o`AlbDqcUqrAgub@}oB_v_B~\mrf@lnK{mv@pGq{^lqG}g^~sOau_@`nGwySpZwyv@`dMgwt@paQ}kiAhuHmg]~{I{wMbpK}yEbvAcxGnfHaj_@n_Z}owAdkd@coiBnrAed[ngQs_g@brQosYloCgcJt_Kms@vOyeNpsDclHpxHelXlgA_to@dbBuxm@zkLq}}AnvUa`fCh_F}a\|n@_zKwVkwSqaAym_@dfBcf}@bcKmic@jrHy{^`hEyzt@|bXqyo@xzLqxUj`Wcxq@n_Pekb@taYuem@~nV}a\`d^ipgBnw@m`m@nfb@u{D|_Mo}[`hEu{h@~wNqfaB~pZ_i~Av~FoaOdBknaBjuA}rgAnrNuldAh~LkkUlhOud@dI}_KpXsjHtqBknFocAchOp_@kef@`~J}t_AjcCmbz@~mAauMr`QkdBsaKgxcA~_`@}pnAhBqczAlzAmueArfB_uUklDasg@cgNmqh@tz@{li@pwAmr_@o~Cor[{qGgxM{{Bsz^`p@gyJhrGguElxCcsMewEy}N}dDmhSakHozVc\m}R`g@{ot@l{@oeKmjEmwVreGmra@nxAstfAj}AshTbrCkaIdsK_jTh{AubMpmK_nHj~EknRg_@ofM|`G{zOhbKioj@`lEauf@txTkjv@f{Nyny@|cEqcr@pfJmdMjdOoo[byFghJmT_gVpiLcn]nbHq_l@~}T{zg@`rIo~GlkKzfArfOpx@h~FshNp{Jac{@d{Ik}j@ibFame@smJcsh@}cSali@ihTcgRibNmxFyiIacZw|OwlHo~DstOslOlkDm|U__OqgGemKa_I{pBsjIjeBopBobB{cErj@{hJulDg`[gu]ulHwyc@slA}cd@i`Bglt@md@qgSb`Cap`@ccAefb@adQmcp@~AmwhAceBkf~ApqEi{t@zhA}gwAybAudxAvcEajs@zg@queAlqMq`wAfrd@}qfD~wRykgArbIuaf@vdEifhAjkP}un@dfKwcAdwEgcJddEamZoBq~ZjsJmxAj}NmuJvtK_vVrkRweIbkFmfAtpKcwNjdUcaa@`h@_bMxgLy|LjpL{hRlkEgxEpqRx`@heJpVz`P_vGhhTea[|_FmzIlf[_pXtxA}gGxuMwaCznR{e\rlVz`CdkSzdH|cM~vJfiMe|D|lKqkG~}JluEbuYviJlaNehMzxRzmHhhQp\"
"Edmonton, AB, Canada",53.5443894,-113.4909209,"Azilda, Sudbury, ON P0M, Canada",46.5516548,-81.114993,"1 day 6 hours",109128,"2,915 km",2914826,"m{xeIfeusTujFs{EnoAghP}CmlfA`HwxjCbiGgvZnhHitJi[k`ZbyI_li@z{Fk~^|iKgg[|NokV}fBcruAi^_f`BhvKase@Kckc@z|Zoz_AhfEgq\tuBenl@jeLawv@fySmzrAddDwyPnaNitI`tG}oIkRkmEt{Oion@lyWm_pAh{Tysz@vaNcyl@~dBer`@~bU{sc@`nMwcObuCknJbvN{vA`mn@ayRdaValFroQa{Kt{Qk~XlrViuRnrRe~ZvuBwlFhiOc~Fv_UgnSrff@enm@|zf@ew`Bl_A}~u@zjUchZboNmcThoIanMbhSkbi@`ceAapmC~lh@yiqAjyHyaRxp@gfWfpAgnj@xt@iadArcFeoo@|eBcvb@nsC_rf@~pO_ZflFixGvwZgAhxWsz@Vso`@Ey~b@oVeuBfhAumg@rhZaZjzLksDtbPIpyHcoBd@cwSCi~ZldCyxFnfOpNr~PxhCxpKkbGzoNw~ShqXi_b@aa@sci@t~Aa_lAj~J_`~A|pGu|b@bbYapr@nnF}mNroAkln@rrDkfbAf|Awhe@dCcd\rgJenWb|Amq{@m`@{tmA`b@yrEtlN_`Tb`HuhLzV{eT~vBsyJznAcPleAegBQmba@bnBs`h@faK{td@zwIid`@tcRevj@wH{odAl}Akfx@dbFehMzeHilJzsEyzMv{@ymR||Aqv[teG{ndB{Qoyk@xhMcya@|~L_tf@npRmtg@nb^}ju@nnMafPoCcnb@`p@cu\xlGsaYhjJgnZq`@{}N}sAsoCdqDyfCvlHaoMfhN_wRbu@ugOt}Bcs_@r|Bwj_@_XwoWfsDqpZci@qtd@}wFmoXoyDw`j@nrKu~RhaIuzf@vfEa~o@_qA_bb@ekFuaNu|Heuj@qzCc}Wr}Iewn@~b@ci_@hxHy`EcwAiyp@akIsrx@{kE{oXnh@g{[psDkwa@t}G_}ZldAufj@qdCq`RhmFkmb@tf@eyVdcEw}GrvGc}DfnC}{AtfB}kUol@_`\fgCyrGsBqlOzBaiPs_GemGuuBmrIlxGqy`@z_@{lpB~Ti`b@jpD{dJt@ugVzk@wmb@{rDiyk@}dDu`{@adBwhdAgYogIk{Jy`DscJqeCwkA_yFulFugQggAalIrzDiaNbeDssJjlHpsBjyMrn@z{FikEo]g}YfaGkfRprAand@xkCwvJ}zA_oVejAueZv~O_or@phCupMmVouYenCqy|@bMa~iAg`K{hj@a|Imrs@cgFaee@{nFmk]idBu_PiqOf}By~KufC~eBi{K"
